politician_name,ticker,est_trade_size,report_date,open_price,close_date,close_price
Alan Lowenthal,ZTS,32500.0,2022-09-05,152.0853729248047,2022-09-25,144.09519958496094
Bob Gibbs,AAPL,8000.0,2022-09-07,153.53636169433594,2022-10-06,143.16998291015625
Bob Gibbs,AAPL,8000.0,2022-09-07,153.53636169433594,2022-10-06,143.16998291015625
Virginia Foxx,AA,8000.0,2022-09-09,50.752079010009766,2022-09-21,38.011009216308594
Virginia Foxx,K,8000.0,2022-09-09,61.59995269775391,2022-09-21,62.32656478881836
Ro Khanna,BKNG,8000.0,2022-09-09,1956.2281494140625,2022-09-22,1699.0389404296875
Ro Khanna,SHW,8000.0,2022-09-09,233.88720703125,2022-09-22,202.45574951171875
Ro Khanna,SYK,8000.0,2022-09-09,223.0225830078125,2022-09-22,202.54330444335935
Ro Khanna,MSCI,8000.0,2022-09-09,474.6720581054688,2022-09-22,412.6688537597656
Ro Khanna,MTCH,8000.0,2022-09-09,61.154144287109375,2022-09-22,47.70514297485352
Ro Khanna,BSX,8000.0,2022-09-09,42.93999862670898,2022-09-22,39.29999923706055
Ro Khanna,AVGO,8000.0,2022-09-09,49.300437927246094,2022-09-22,45.45142364501953
Ro Khanna,TJX,8000.0,2022-09-09,63.82944869995117,2022-09-22,59.41252899169922
Ro Khanna,EBAY,8000.0,2022-09-09,42.64495849609375,2022-09-22,36.21512985229492
Ro Khanna,LRCX,8000.0,2022-09-09,43.5135383605957,2022-09-22,37.48503875732422
Ro Khanna,OTIS,8000.0,2022-09-09,69.94212341308594,2022-09-22,62.36664581298828
Ro Khanna,IQV,8000.0,2022-09-09,223.1699981689453,2022-09-22,190.6199951171875
Ro Khanna,LYB,8000.0,2022-09-09,71.38579559326172,2022-09-22,63.73215866088867
Ro Khanna,TRV,8000.0,2022-09-09,155.5434112548828,2022-09-22,148.76829528808594
Ro Khanna,ADP,8000.0,2022-09-09,230.2288360595703,2022-09-22,217.19541931152344
Ro Khanna,MS,8000.0,2022-09-09,80.54418182373047,2022-09-22,76.32157897949219
Ro Khanna,MU,8000.0,2022-09-09,56.42721176147461,2022-09-22,48.78439712524414
Ro Khanna,BIIB,8000.0,2022-09-09,211.83999633789065,2022-09-22,200.6199951171875
Ro Khanna,INTC,8000.0,2022-09-09,29.93191337585449,2022-09-22,26.70657539367676
Ro Khanna,USB,8000.0,2022-09-09,41.146026611328125,2022-09-22,37.21129989624024
Ro Khanna,PG,8000.0,2022-09-09,129.73788452148438,2022-09-22,126.26179504394533
Ro Khanna,DOW,8000.0,2022-09-09,42.90020751953125,2022-09-22,38.02498626708984
Ro Khanna,AMD,8000.0,2022-09-09,85.44999694824219,2022-09-22,69.5
Ro Khanna,VZ,75000.0,2022-09-09,34.5266227722168,2022-09-22,32.63844680786133
Ro Khanna,PEP,32500.0,2022-09-09,158.9841766357422,2022-09-22,154.74391174316406
Ro Khanna,MSFT,32500.0,2022-09-09,258.465087890625,2022-09-22,235.517333984375
Ro Khanna,CAT,32500.0,2022-09-09,179.3557891845703,2022-09-22,161.42874145507812
Ro Khanna,DHR,32500.0,2022-09-09,253.92819213867188,2022-09-22,232.9525909423828
Ro Khanna,WMT,32500.0,2022-09-09,43.899147033691406,2022-09-22,42.792362213134766
Ro Khanna,DIS,32500.0,2022-09-09,113.2913589477539,2022-09-22,100.48485565185548
Ro Khanna,PFE,32500.0,2022-09-09,40.57776641845703,2022-09-22,37.80414962768555
Ro Khanna,GOOGL,32500.0,2022-09-09,109.99034881591795,2022-09-22,99.54300689697266
Ro Khanna,JPM,8000.0,2022-09-09,110.2305908203125,2022-09-22,102.86768341064452
Ro Khanna,MCD,32500.0,2022-09-09,243.5867156982422,2022-09-22,232.71771240234372
Ro Khanna,MET,8000.0,2022-09-09,61.663848876953125,2022-09-22,57.86227798461914
Ro Khanna,CMCSA,8000.0,2022-09-09,32.25307083129883,2022-09-22,29.55848503112793
Ro Khanna,MMC,8000.0,2022-09-09,159.5967254638672,2022-09-22,144.71469116210938
Ro Khanna,CVS,8000.0,2022-09-09,91.27972412109376,2022-09-22,89.20658111572266
Ro Khanna,BK,8000.0,2022-09-09,40.3245964050293,2022-09-22,37.392066955566406
Ro Khanna,AIG,8000.0,2022-09-09,51.48777389526367,2022-09-22,48.18946838378906
Ro Khanna,MMM,8000.0,2022-09-09,91.816650390625,2022-09-22,85.13363647460938
Ro Khanna,NFLX,8000.0,2022-09-09,233.57000732421875,2022-09-22,237.0500030517578
Ro Khanna,APD,32500.0,2022-09-09,238.2328948974609,2022-09-22,221.1281890869141
Ro Khanna,CMG,8000.0,2022-09-09,34.466400146484375,2022-09-22,31.76959991455078
Ro Khanna,DXCM,8000.0,2022-09-09,92.88999938964844,2022-09-22,80.95999908447266
Ro Khanna,ULTA,8000.0,2022-09-09,442.8999938964844,2022-09-22,401.6700134277344
Ro Khanna,GM,8000.0,2022-09-09,40.11204528808594,2022-09-22,36.3135986328125
Ro Khanna,MCHP,8000.0,2022-09-09,62.959869384765625,2022-09-22,59.527923583984375
