,Politician,Traded Issuer,Published,Traded,Filed After,Owner,Type,Size,Price
95,Max MillerRepublicanHouseOH,MERCATO PARTNERS TRAVERSE IV QP LP N/A,2 Jul2025,30 Jun2025,days1,Undisclosed,buy,1K–15K,N/A
96,Max MillerRepublicanHouseOH,TRIMER CAPITAL PARTNERS I LP N/A,2 Jul2025,12 Jun2025,days19,Undisclosed,buy,1K–15K,N/A
97,Dave McCormickRepublicanSenatePA,DEPARTMENT OF STATE PENNSYLVANIAN/A,3 Jul2025,16 Jun2025,days16,Spouse,sell,15K–50K,N/A
98,Dave McCormickRepublicanSenatePA,CITY OF PHILADELPHIA PENNSYLVANIAN/A,3 Jul2025,11 Jun2025,days21,Spouse,buy,100K–250K,N/A
99,Dave McCormickRepublicanSenatePA,DELAWARE COUNTY PENNSYLVANIAN/A,3 Jul2025,6 Jun2025,days26,Spouse,buy,15K–50K,N/A
100,Dave McCormickRepublicanSenatePA,UPPER MERION AREA SCHOOL DISTRICT MONTGOMERY COUNTY PENNSYLVANIAN/A,3 Jul2025,6 Jun2025,days26,Spouse,buy,15K–50K,N/A
101,Dave McCormickRepublicanSenatePA,TOWNSHIP OF EAST HEMPFIELD PENNSYLVANIAN/A,3 Jul2025,6 Jun2025,days26,Spouse,buy,1K–15K,N/A
102,Dave McCormickRepublicanSenatePA,UNIVERSITY OF PITTSBURGHN/A,3 Jul2025,5 Jun2025,days27,Spouse,buy,1K–15K,N/A
103,Dave McCormickRepublicanSenatePA,BOROUGH OF HANOVER YORK COUNTY PENNSYLVANIAN/A,3 Jul2025,4 Jun2025,days28,Spouse,buy,1K–15K,N/A
104,Dave McCormickRepublicanSenatePA,PENNSYLVANIA HIGHER EDUCATIONAL FACILITIES AUTHORITYN/A,3 Jul2025,4 Jun2025,days28,Spouse,buy,1K–15K,N/A
105,Debbie Wasserman SchultzDemocratHouseFL,New Gold IncNGD:US,2 Jul2025,28 Feb2024,days489,Undisclosed,buy,1K–15K,$1.19
106,Max MillerRepublicanHouseOH,AIX VENTURES FUND II LPN/A,2 Jul2025,16 Jun2025,days15,Undisclosed,buy,1K–15K,N/A
107,Max MillerRepublicanHouseOH,MERCATO PARTNERS TRAVERSE IV QP LP N/A,2 Jul2025,30 Jun2025,days1,Undisclosed,buy,1K–15K,N/A
