politician_name,ticker,est_trade_size,report_date,open_price,close_date,close_price,return_factor,running_return,pct_trade_size
Alan Lowenthal,ZTS,32500.0,2022-09-05,152.0853729248047,2022-09-25,144.09519958496094,0.9474625785098063,0.9474625785098063,0.05
Bob Gibbs,AAPL,8000.0,2022-09-07,153.53636169433594,2022-10-06,143.16998291015625,0.9324825815215204,0.9324825815215204,0.05
Bob Gibbs,AAPL,8000.0,2022-09-07,153.53636169433594,2022-10-06,143.16998291015625,0.9324825815215204,0.9324825815215204,0.05
Ro Khanna,CMG,8000.0,2022-09-09,34.466400146484375,2022-09-22,31.76959991455078,0.9217556744982933,0.9128631365165503,0.05
Ro Khanna,APD,32500.0,2022-09-09,238.2328948974609,2022-09-22,221.1281890869141,0.9282017463713021,0.9126563333076725,0.05
Ro Khanna,MCHP,8000.0,2022-09-09,62.959869384765625,2022-09-22,59.527923583984375,0.9454899472581867,0.9124010335993519,0.05
Ro Khanna,NFLX,8000.0,2022-09-09,233.57000732421875,2022-09-22,237.0500030517578,1.014899154936055,0.912286204425205,0.05
Ro Khanna,DXCM,8000.0,2022-09-09,92.88999938964844,2022-09-22,80.95999908447266,0.871568517778403,0.911945478322369,0.05
Ro Khanna,HCA,8000.0,2022-09-09,214.0422821044922,2022-09-22,189.57107543945312,0.8856711560704974,0.9118555258946813,0.05
Ro Khanna,ULTA,8000.0,2022-09-09,442.8999938964844,2022-09-22,401.6700134277344,0.9069090516212869,0.9118359907853891,0.05
Ro Khanna,GM,8000.0,2022-09-09,40.11204528808594,2022-09-22,36.3135986328125,0.9053040893828057,0.9116970141598022,0.05
Ro Khanna,SNAP,8000.0,2022-09-09,12.649999618530272,2022-09-22,10.460000038146973,0.82687749830638,0.9101559653429153,0.05
Ro Khanna,MMM,8000.0,2022-09-09,91.816650390625,2022-09-22,85.13363647460938,0.9272134859245748,0.9097834495346965,0.05
Zoe Lofgren,DIS,8000.0,2022-09-14,110.65530395507812,2022-09-24,96.5110855102539,0.8721776730145151,0.8721776730145151,0.05
Kevin Hern,PTC,32500.0,2022-09-15,114.98999786376952,2022-09-24,105.16999816894533,0.9146012707430597,0.9146012707430597,0.05
Lois Frankel,LOW,8000.0,2022-09-21,177.40928649902344,2022-10-07,185.74478149414065,1.0469845471993549,1.0100190036552827,0.05
Lois Frankel,TGT,8000.0,2022-09-21,144.18817138671875,2022-10-07,138.12255859375,0.9579326602547686,0.9926568891884447,0.05
Michael McCaul,HSIC,32500.0,2022-09-21,69.06999969482422,2022-09-22,68.0,0.9845084740183603,0.9845084740183603,0.05
Michael McCaul,HSIC,32500.0,2022-09-21,69.06999969482422,2022-09-22,68.0,0.9845084740183603,0.9845084740183603,0.05
Michael McCaul,IPG,8000.0,2022-09-21,23.73322296142578,2022-09-22,23.45631980895996,0.9883326780810227,0.9835288974491537,0.05
Michael McCaul,IPG,8000.0,2022-09-21,23.73322296142578,2022-09-22,23.45631980895996,0.9883326780810227,0.9832023719260848,0.05
Michael McCaul,RHI,8000.0,2022-09-21,68.86869049072266,2022-09-22,67.26859283447266,0.9767659636788716,0.9821763106950974,0.05
Michael McCaul,RHI,8000.0,2022-09-21,68.86869049072266,2022-09-22,67.26859283447266,0.9767659636788716,0.9819276372385307,0.05
Lois Frankel,ADI,8000.0,2022-09-21,141.34011840820312,2022-10-12,131.9612274169922,0.9336431078674786,0.9779034438582032,0.05
Michael McCaul,PRI,32500.0,2022-09-21,126.27371978759766,2022-09-24,117.8009033203125,0.932901188928804,0.9760164886407591,0.05
Mitch McConnell,WFC,8000.0,2022-09-26,36.949462890625,2022-10-06,39.008888244628906,1.055736273084674,1.055736273084674,0.05
Ed Perlmutter,CHPT,8000.0,2022-09-27,304.3999938964844,2022-10-02,301.0,0.9888305060293773,0.9888305060293773,0.05
Diana Harshbarger,NOW,8000.0,2022-09-29,385.5,2022-10-07,401.2099914550781,1.0407522476136917,1.0407522476136917,0.05
Diana Harshbarger,NOW,8000.0,2022-09-29,385.5,2022-10-07,401.2099914550781,1.0407522476136917,1.0407522476136917,0.05
Diana Harshbarger,NOW,8000.0,2022-09-29,385.5,2022-10-07,401.2099914550781,1.0407522476136917,1.0407522476136917,0.05
Diana Harshbarger,NOW,8000.0,2022-09-29,385.5,2022-10-07,401.2099914550781,1.0407522476136917,1.0407522476136917,0.05
