politician_name,ticker,est_trade_size,report_date,open_price,close_date,close_price,return_factor,running_return,running_stdev,running_rr_ratio,pct_trade_size
Alan Lowenthal,ZTS,32500.0,2022-09-05,152.0853729248047,2022-09-25,144.09519958496094,0.9474625785098063,0.9474625785098063,0.0,inf,0.05
Bob Gibbs,AAPL,8000.0,2022-09-07,153.53636169433594,2022-10-06,143.16998291015625,0.9324825815215204,0.9324825815215204,0.0,inf,0.05
Bob Gibbs,AAPL,8000.0,2022-09-07,153.53636169433594,2022-10-06,143.16998291015625,0.9324825815215204,0.9324825815215204,0.0,inf,0.05
Virginia Foxx,AA,8000.0,2022-09-09,50.752079010009766,2022-09-21,38.011009216308594,0.7489547218117258,0.7489547218117258,0.0,inf,0.05
Ro Khanna,BKNG,8000.0,2022-09-09,1956.2281494140625,2022-09-22,1699.0389404296875,0.868528009342157,0.868528009342157,0.0,inf,0.05
Ro Khanna,SHW,8000.0,2022-09-09,233.88720703125,2022-09-22,202.45574951171875,0.8656127544618905,0.8670703819020238,0.0020613964947237004,420.62280794663025,0.05
Ro Khanna,MSCI,8000.0,2022-09-09,474.6720581054688,2022-09-22,412.6688537597656,0.8693767554105186,0.8779228721170009,0.02023171958385929,43.39338870717648,0.05
Ro Khanna,SYK,8000.0,2022-09-09,223.0225830078125,2022-09-22,202.54330444335932,0.9081739692534375,0.8807715776858283,0.02377589063468838,37.04473540944062,0.05
Ro Khanna,LYB,8000.0,2022-09-09,71.38579559326172,2022-09-22,63.73215866088867,0.8927848759159099,0.8776179475525296,0.03978560936126581,22.058678040682587,0.05
Ro Khanna,IQV,8000.0,2022-09-09,223.1699981689453,2022-09-22,190.6199951171875,0.8541470479059795,0.8763540368555812,0.04128122089895186,21.228878840592433,0.05
Ro Khanna,HCA,8000.0,2022-09-09,214.0422821044922,2022-09-22,189.57107543945312,0.8856711560704974,0.9118555258946813,0.043190240565567715,21.112536396049485,0.05
Ro Khanna,MMM,8000.0,2022-09-09,91.816650390625,2022-09-22,85.13363647460938,0.9272134859245748,0.9097834495346965,0.04326444495783351,21.028432247805135,0.05
Ro Khanna,MCHP,8000.0,2022-09-09,62.959869384765625,2022-09-22,59.527923583984375,0.9454899472581867,0.9124010335993519,0.0434763680603482,20.98613739613383,0.05
Zoe Lofgren,DIS,8000.0,2022-09-14,110.65530395507812,2022-09-24,96.5110855102539,0.8721776730145151,0.8721776730145151,0.0,inf,0.05
Kevin Hern,PTC,32500.0,2022-09-15,114.98999786376952,2022-09-24,105.16999816894533,0.9146012707430597,0.9146012707430597,0.0,inf,0.05
Michael McCaul,HSIC,32500.0,2022-09-21,69.06999969482422,2022-09-22,68.0,0.9845084740183603,0.9845084740183603,0.0,inf,0.05
Michael McCaul,HSIC,32500.0,2022-09-21,69.06999969482422,2022-09-22,68.0,0.9845084740183603,0.9845084740183603,0.0,inf,0.05
Lois Frankel,KLAC,8000.0,2022-09-21,312.95123291015625,2022-10-07,304.5182800292969,0.9730534601112105,0.9730534601112105,0.0,inf,0.05
Michael McCaul,RHI,8000.0,2022-09-21,68.86869049072266,2022-09-22,67.26859283447266,0.9767659636788716,0.9819276372385307,0.004470140428707259,219.663711442394,0.05
Michael McCaul,IPG,8000.0,2022-09-21,23.73322296142578,2022-09-22,23.45631980895996,0.9883326780810227,0.9835288974491537,0.004855674414202364,202.55248057250907,0.05
Michael McCaul,RHI,8000.0,2022-09-21,68.86869049072266,2022-09-22,67.26859283447266,0.9767659636788716,0.9821763106950974,0.005179829644766231,189.61556229701517,0.05
Michael McCaul,IPG,8000.0,2022-09-21,23.73322296142578,2022-09-22,23.45631980895996,0.9883326780810227,0.9832023719260848,0.005270798612872014,186.5376471650747,0.05
Michael McCaul,NSIT,8000.0,2022-09-21,85.43000030517578,2022-09-24,82.12999725341797,0.9613718478289894,0.9741859085392878,0.01888050577153759,51.59744767048961,0.05
Michael McCaul,IBM,32500.0,2022-09-21,111.26416778564452,2022-09-24,108.66358184814452,0.9766269232111622,0.9700845126245351,0.019479598736741155,49.80002543865673,0.05
Michael McCaul,PRI,32500.0,2022-09-21,126.27371978759766,2022-09-24,117.8009033203125,0.932901188928804,0.9760164886407591,0.019611464210510996,49.76765009303342,0.05
Mitch McConnell,WFC,8000.0,2022-09-26,36.949462890625,2022-10-06,39.008888244628906,1.055736273084674,1.055736273084674,0.0,inf,0.05
Ed Perlmutter,CHPT,8000.0,2022-09-27,304.3999938964844,2022-10-02,301.0,0.9888305060293773,0.9888305060293773,0.0,inf,0.05
Diana Harshbarger,NOW,8000.0,2022-09-29,385.5,2022-10-07,401.2099914550781,1.0407522476136917,1.0407522476136917,0.0,inf,0.05
Diana Harshbarger,NOW,8000.0,2022-09-29,385.5,2022-10-07,401.2099914550781,1.0407522476136917,1.0407522476136917,0.0,inf,0.05
Diana Harshbarger,NOW,8000.0,2022-09-29,385.5,2022-10-07,401.2099914550781,1.0407522476136917,1.0407522476136917,0.0,inf,0.05
Diana Harshbarger,NOW,8000.0,2022-09-29,385.5,2022-10-07,401.2099914550781,1.0407522476136917,1.0407522476136917,0.0,inf,0.05
Alan Lowenthal,SCI,8000.0,2022-10-03,56.7540168762207,2022-10-26,58.46572494506836,1.0301601219272436,1.0071719523165183,0.05299863310240646,19.003734499537245,0.05
Alan Lowenthal,SCI,8000.0,2022-10-03,56.7540168762207,2022-10-23,55.9603157043457,0.9860150661475461,1.0014249099138373,0.05937129080436561,16.867157448431318,0.05
Alan Lowenthal,SCI,8000.0,2022-10-03,56.7540168762207,2022-10-22,55.9603157043457,0.9860150661475461,1.0065615245026007,0.0716178497377841,14.054618062228133,0.05
Alan Lowenthal,CRM,8000.0,2022-10-03,146.61526489257812,2022-10-22,159.2545166015625,1.0862069288504501,1.0168347536801283,0.09810707097719124,10.36454094034191,0.05
Richard Blumenthal,APG,32500.0,2022-10-06,9.619999885559082,2022-10-09,9.373332977294922,0.9743589489398601,0.9743589489398601,0.0,inf,0.05
Earl Blumenauer,AMGN,8000.0,2022-10-06,211.5809631347656,2022-10-26,244.30667114257807,1.1546722707135422,1.1546722707135422,0.0,inf,0.05
Richard Blumenthal,APG,8000.0,2022-10-06,9.619999885559082,2022-10-12,9.133333206176758,0.9494109474873408,0.9618849482136005,0.01764090100412827,54.525840147762466,0.05
Richard Blumenthal,APG,8000.0,2022-10-06,9.619999885559082,2022-10-20,9.793333053588867,1.0180180010490418,0.9988911801085344,0.03535525966816468,28.252972527535324,0.05
Richard Blumenthal,APG,32500.0,2022-10-06,9.619999885559082,2022-10-16,9.813332557678224,1.0200969516028124,0.9812889493433378,0.03584893964467108,27.37288631322756,0.05
Richard Blumenthal,APG,175000.0,2022-10-06,9.619999885559082,2022-10-21,10.07333278656006,1.047124002743648,1.0069299838810533,0.03725224430180101,27.03004886694496,0.05
Richard Blumenthal,APG,32500.0,2022-10-06,9.619999885559082,2022-10-19,9.93333339691162,1.0325710514636173,0.9941094748734076,0.03891308025887363,25.5469232520269,0.05
Earl Blumenauer,EMR,8000.0,2022-10-06,74.79171752929688,2022-10-26,80.18438720703125,1.0721024981893483,1.094534782179118,0.0526374740179461,20.793831820386174,0.05
Earl Blumenauer,CNC,8000.0,2022-10-06,80.23999786376953,2022-10-26,84.80000305175781,1.0568295776344636,1.105750924174003,0.06918523176577053,15.982470477479477,0.05
Earl Blumenauer,ALK,8000.0,2022-10-06,42.459999084472656,2022-10-30,44.459999084472656,1.0471031569270897,1.0570971552436406,0.07126564528226288,14.833194185736765,0.05
Kurt Schrader,CPRT,8000.0,2022-10-07,27.420000076293945,2022-10-16,27.729999542236328,1.011305596830045,1.011305596830045,0.0,inf,0.05
