politician_name,ticker,est_trade_size,report_date,open_price,close_date,close_price,return_factor,pct_trade_size
Alan Lowenthal,ZTS,32500.0,2022-09-05,152.0853729248047,2022-09-25,144.09519958496094,0.9474625785098063,0.05
Bob Gibbs,AAPL,8000.0,2022-09-07,153.53636169433594,2022-10-06,143.16998291015625,0.9324825815215204,0.05
Bob Gibbs,AAPL,8000.0,2022-09-07,153.53636169433594,2022-10-06,143.16998291015625,0.9324825815215204,0.05
Virginia Foxx,AA,8000.0,2022-09-09,50.752079010009766,2022-09-21,38.011009216308594,0.7489547218117258,0.05
Virginia Foxx,K,8000.0,2022-09-09,61.59995269775391,2022-09-21,62.32656478881836,1.01179565988678,0.05
Ro Khanna,BKNG,8000.0,2022-09-09,1956.2281494140625,2022-09-22,1699.0389404296875,0.868528009342157,0.05
Ro Khanna,SHW,8000.0,2022-09-09,233.88720703125,2022-09-22,202.45574951171875,0.8656127544618905,0.05
Ro Khanna,SYK,8000.0,2022-09-09,223.0225830078125,2022-09-22,202.54330444335932,0.9081739692534375,0.05
Ro Khanna,MSCI,8000.0,2022-09-09,474.6720581054688,2022-09-22,412.6688537597656,0.8693767554105186,0.05
Ro Khanna,MTCH,8000.0,2022-09-09,61.154144287109375,2022-09-22,47.70514297485352,0.7800802959630202,0.05
Ro Khanna,BSX,8000.0,2022-09-09,42.93999862670898,2022-09-22,39.29999923706055,0.9152305657647524,0.05
Ro Khanna,AVGO,8000.0,2022-09-09,49.300437927246094,2022-09-22,45.45142364501953,0.9219273814989909,0.05
Ro Khanna,TJX,8000.0,2022-09-09,63.82944869995117,2022-09-22,59.41252899169922,0.9308012242277861,0.05
Ro Khanna,EBAY,8000.0,2022-09-09,42.64495849609375,2022-09-22,36.21512985229492,0.8492241786473353,0.05
Ro Khanna,LRCX,8000.0,2022-09-09,43.5135383605957,2022-09-22,37.48503875732422,0.8614569205263556,0.05
Ro Khanna,OTIS,8000.0,2022-09-09,69.94212341308594,2022-09-22,62.36664581298828,0.8916893392647511,0.05
Ro Khanna,IQV,8000.0,2022-09-09,223.1699981689453,2022-09-22,190.6199951171875,0.8541470479059795,0.05
Ro Khanna,LYB,8000.0,2022-09-09,71.38579559326172,2022-09-22,63.73215866088867,0.8927848759159099,0.05
Ro Khanna,TRV,8000.0,2022-09-09,155.5434112548828,2022-09-22,148.76829528808594,0.9564422824976189,0.05
Ro Khanna,ADP,8000.0,2022-09-09,230.2288360595703,2022-09-22,217.19541931152344,0.9433892948810524,0.05
Ro Khanna,MS,8000.0,2022-09-09,80.54418182373047,2022-09-22,76.32157897949219,0.9475740798574456,0.05
Ro Khanna,MU,8000.0,2022-09-09,56.42721176147461,2022-09-22,48.78439712524414,0.8645544516972118,0.05
Ro Khanna,BIIB,8000.0,2022-09-09,211.83999633789065,2022-09-22,200.6199951171875,0.947035491811438,0.05
